    5   18    7
   17   20    2
   14    6   11
   12   18    5
   10   13    6
   13    3    1
   16    3   10
   19   14   11
    2    6   10
    6    6    4
    2   17    3
   18    3    2
    4    6    4
    2   18    2
   18    6    8
   10    8    7
   15   18    3
   20   18    2
   15   13    3
    1    1   11
   20    2    8
    4   14    2
   17    6    8
    1   20    1
   10    7   10
   15   10    4
    6   11   10
   12    5   11
    8    3    6
   19    7    9
   10   18   11
   20   14    2
    8   19    2
    2   19    7
    8    4   10
    7   12    4
    3    8   11
   11   19   11
    7   13   11
    7   17   11
   19   11   11
   20    4    2
    7   19    8
    7    9    6
   17   10    3
   14   18    9
   20   18    9
    1   11   11
   11   11   11
    8   11    4
    1   15    2
    8   17    6
    6   10    5
   17    1    5
    3    7    8
   12    9   11
    1    7    3
    9   19    7
   13    7    1
    1   13    1
   15    5    6
    8   17   11
   20   13   11
   16   13   11
   19   10    2
   18   15    2
    2    1   11
   17    5    5
   15    5   10
   17    2   10
    5   20    9
   18   19    5
   10    1   10
   20    9   10
   16   18    2
   19   13    1
   12   16    2
    9    6    1
   16    9    8
   16    5    1
   11   10    3
    5   10    1
   12   12   10
   12   20    6
   20   19    7
    6    4    7
    9   11    9
    4    3   11
   20    4   10
    8   11    8
   16   13    9
   14    4   11
    1    6    7
   10   17    6
    4    5    5
   20   10    7
   17   20    4
    5   20    6
    2   13   11
    2   15    1
    3   10   10
   11    1   11
   14   17    5
   11   10    4
   18   15   11
    2   15    3
    4    8    6
   16    6   10
   17    8   11
    5    7    9
    1   18    6
   11   10    8
   18   16   11
    8   18    2
   10    3    2
   15   19    8
   11    7    1
    4   16    5
    9    1    9
   19   15    6
   14   17   11
   10   20   11
    4   16    7
   13    3    6
    5    8   11
   15    7    7
    3   14    6
   14    1    9
   10    4   10
   16   13    7
    5    1    3
    4   20   11
   16    2    7
   17   12    9
    3    3   11
    7   13    1
   13    1    4
    7    7    4
    9   14   11
   19    9   10
   12   16   11
    7    9    7
   18   17    3
    1   15    5
    6    6    8
    8   14   10
   19    5   11
   16   17    4
   20    5   11
    9    8    9
   13   17    1
    4   17   11
   13   19   10
   17    1   11
    9   10    1
   17   20    6
    8   13    4
   12   15    7
   11    2    4
   18    8    5
   14   16    2
    3    6    8
    2   14    6
    1   11    2
    9    9    5
    7   19    4
    9   16    9
   10    8   11
   11   12    6
    9   10    6
   13    4    8
    3   10    8
    4    3    1
    6    2    2
   16   16    7
   19   13    6
    7   19    1
   20    3    8
    2   11    9
   12   14    1
   16   19   11
    8   12   11
    9   12    9
    4   13    3
   13   20    7
   10    6    3
    7    4    8
   12   11    9
    4   13    6
    7    2    3
   13   10    7
    6   19   10
   11   10    7
   17    1    4
    3   13    3
    3    7    7
   16    7    1
   16    5    8
    4    7    7
   17   12    7
    7   11   10
   16   20    9
    9    4    2
   20   13    7
    4   16    6
   10    9    6
   12   12    3
   12    9    7
   17   14    2
    4    3    5
   14    3   11
   15    1    4
   18    9   11
    3    4    5
   10    1    6
   20    3    5
    3    3    8
    4    9    8
    9   19    2
   15    6    2
   10    6    4
   17    7    8
   18    1    9
   17    3    7
   11   10    1
   19   13    7
   12    3    2
   19   16    3
    2   12    8
    2    2    2
   17   13    9
   12    7    8
   14   18   11
    3    3    2
   16    6    3
    9   11   11
   17    4    7
    7    1    4
   10   15    2
   15    7    3
   20   12   10
    5    5    8
    8    6    8
    5   15   11
    1    8    5
    5   12   11
   10   15    3
   14   19   10
   18    4    5
    7    7    9
   19   11   10
   17   11   10
   11   14    8
   13   11    1
   11    7   11
    9    4   11
    3    6   10
   20   11    5
   10    3   11
   18    7    3
   17   11    5
    8   16    2
    6   15    9
    4   20    6
   12   18    4
    6   15   11
   19    3    6
   20   12    9
   11   13   10
    9   17    8
    4   16   11
    2    5    9
    9   10    5
    1   15   10
    6    1    6
    2   19    4
   15    1    7
   16    2    2
    2   17    5
    5    2    3
    7   18   11
   18   10    2
    1   16    8
    4    6    5
    4   10    5
    3    4    1
   18    3    1
   17   20    9
   15   14    4
   17   10    7
   18   18    2
   18    3    4
   11   12   11
    9    7    6
    6    7    4
    1   15   11
   11    4    9
   14   15    3
    4    3    7
    4   10    2
   20    4    3
    3    4   11
   10    9   11
   15   18    1
   16   17    1
   14   10    8
   19    7   11
   16   15    6
   10   13    1
    7   19    6
    1   17   11
   16    4   10
    4   12    9
    9   13    3
   10   12   10
   16   12    7
    1    2    8
   15   12    5
   11   20    8
   12   18    2
    7    1    5
    1    5    9
   18   11    4
    5   16    2
   16    4    5
   18   18    3
    7   13    9
   14   14    9
    4   17    9
    5    4    1
    1    8    6
   20   20    5
   16   14   11
    7   16    2
   14    3    2
   19    4    1
   16    5    7
   20   13    8
    5    3   11
    1    1   10
   11    1   10
    6    8    1
    7    4   10
   16   20   11
   18    3   10
   17   18    6
   18    1    2
   14   17    7
   17    6    1
   18    2    2
    4    3    4
   17    7    1
    3    7    1
    9   10    3
    5   14   10
   14   11    1
    4    9   10
    9   20    3
   13   11   11
   19   19    4
    4    6    1
    4    8    2
   14    7    8
    5   19    3
    2   20    1
   16    1   11
   16   16    6
   13   18   11
   13    2   11
   15   12   10
   17   17    6
   15   18    7
   10    5    9
   17   17    3
   10    8    6
    4    7    2
    8   11    7
    2   17    2
    6    4    4
    3   15    1
    4    2    4
    7   17    4
    7    5   11
    8    7    5
   13   20    1
    6    3   11
    1    2   10
   10    9    3
    1   10   10
   15    3    3
   16    9   11
   16   17    7
   16   16    4
   10   19    6
    4   14    3
    3    5   10
    4   19    8
   13   19    5
    5    8    7
    9    9    4
    2   12   10
   10    4    4
    6    2    1
   10    8   10
   17   11    8
   16    3    6
   13    3   11
    2   12   11
   15    9    4
    2   16   11
    8    8    7
   13   10    8
   11    8   11
   13   19    8
   19   18    6
   15   13    7
   12   11    6
    9   13   10
    5   15   10
    2    8   11
    4   12    3
    2    4    5
    5   13   11
   12   12    5
   10   17    1
    7    3    9
    5   16    6
   19    4    9
    9    9   11
    9    7    1
   11   17    5
   18   17   11
   13   15    7
   12    3   10
   14    2    7
   16   11    7
    5   17    3
    9   17    2
    2    3   11
   19   10    5
   18   18    9
   18   11    7
   18   14    1
   18   20    9
   13   10    6
   12   15    4
    5   11    1
    2    2   10
    4    6    3
   10   16    5
   11    8    1
   12    5    1
    3    1    6
    8    1    8
   10    2   11
   15    9    6
   13    7   11
    8   19    7
   11    8    3
   13    6    9
    5   11   11
   20   12   11
    2    4    8
   13   10    1
    6   20    1
   16   18   11
   13   16    8
    6   17   10
   17   17   10
   19   19    7
    9    2    1
   18    4    8
    8    7    3
   18   11    8
   15    5    3
   11   13    5
    1    6    5
   13    9   11
   20    4    4
    8    3    9
   18    2    9
   10   12   11
   15    2    9
   14    8    1
   16   15   11
   14   12    7
    3    5    8
   16   11    2
    1   19   11
    6   14    9
    9   18    4
   14   18    1
   17    6   10
   13    1    9
   11    8    9
    4   16    3
   20   20   11
   17    2   11
   14   19    3
    2    7   11
